,0
0,0.18682733
1,-0.34465092
2,-0.2839666
3,0.92279106
4,-0.1523354
5,-0.30069384
6,-0.20294586
7,-0.69645697
8,0.03979881
9,1.3925521
10,1.5983634
11,1.2497554
12,-0.07045063
13,1.8098059
14,-0.04754087
15,-0.24313387
16,1.1488433
17,0.117296875
18,1.0650845
19,-0.58981556
20,-0.23651251
21,-1.2449946
22,0.82864445
23,-0.34232908
24,0.78194916
25,-0.20245947
26,0.055612177
27,-0.27112865
28,-0.27333322
29,1.8574471
30,-0.39532876
31,-0.7893164
32,0.20536482
33,-1.3547139
34,0.13159224
35,-0.08849712
36,1.8727818
37,-0.013515025
38,-0.10172498
39,0.13839152
40,-0.3101666
41,0.69048935
42,-0.85020876
43,-0.74222
44,0.8164542
45,-1.2261167
46,-0.11895049
47,-0.17823976
48,0.7793747
49,0.14628786
50,0.12591308
51,-0.17587525
52,-0.48223722
53,-0.25121966
54,-0.8458554
55,-0.09101306
56,-0.024480827
57,0.086941734
58,0.102924615
59,-0.8261752
60,1.7643368
61,0.17610428
62,-0.30917385
63,-1.6079273
64,0.042626187
65,-1.5168402
66,0.93734914
67,-0.12335917
68,0.1724022
69,0.974183
70,0.5032101
71,1.1899512
72,-0.290173
73,-0.24792667
74,-0.23438051
75,-0.2574635
76,0.027420908
77,-1.2371216
78,0.96379274
79,0.88205785
80,-0.056621395
81,0.10431695
82,0.040714264
83,-0.08797919
84,-0.72134453
85,1.1171541
86,-0.16063783
87,-0.32322055
88,0.15684399
89,-0.0673325
90,1.2081573
91,0.93116575
92,1.1776507
93,-1.0782003
94,-0.04406321
95,0.011974767
96,0.110241115
97,1.8139133
98,0.814688
99,0.91201514
100,0.12718624
101,-0.11527134
102,0.77676487
103,-0.7909787
104,-0.52678883
105,0.68074185
106,0.12176311
107,-0.63774395
108,1.3294272
109,0.17286229
110,-0.880794
111,0.18204331
112,0.12991226
113,0.6872221
114,-0.25520653
115,0.22034031
116,1.6968775
117,-1.1358595
118,0.9348673
119,0.5304489
120,0.92086965
121,0.08326134
122,0.7863555
123,-0.8383612
124,1.2923799
125,0.09333077
126,0.1478458
127,0.20512605
128,-0.007391453
129,-0.21015427
130,1.1844695
131,0.9629465
132,-1.0351462
133,-0.09617568
134,0.09377234
135,1.073009
136,-0.2331012
137,-0.08442808
138,1.2309496
139,0.112019464
140,1.1716843
141,0.94260436
142,0.8915748
143,-0.663577
144,-1.5567257
145,0.07919167
146,-0.3003889
147,1.4860401
148,-0.618828
149,0.14408389
150,0.931997
151,-1.7745299
152,-0.85268027
153,-0.8807789
154,-0.27450025
155,-0.9483342
156,-1.1233773
157,-0.28336042
158,0.6714546
159,-0.7169124
160,1.4395618
161,0.7391726
162,0.75999886
163,0.4972828
164,0.6793571
165,0.81591433
166,-1.9140699
167,-1.0612757
168,-0.06932278
169,1.5453956
170,-0.11195587
171,-0.49922895
172,-0.8415511
173,-0.09944121
174,-0.054760188
175,-1.6278946
176,0.15809566
177,1.0690992
178,0.912919
179,-0.10167688
180,-1.0077195
181,0.9432152
182,0.18082887
183,-0.20774724
184,0.23110071
185,-0.019271381
186,1.2923725
187,-0.7735911
188,0.15636244
189,-0.97703624
190,0.17859769
191,0.87940437
192,0.058674574
193,1.8692429
194,0.16663393
195,-0.027114466
196,-1.7664876
197,0.17658103
198,-0.044315785
199,-0.32576454
200,0.04504478
201,1.9959941
202,2.0885215
203,-0.64134395
204,0.49235988
205,0.18100262
206,-0.27003497
207,-1.0626047
208,-0.4058751
209,0.9002703
210,-0.74669194
211,-0.32561618
212,-0.6970795
213,-0.24261674
