6-digit activity code,Activity,Examples,,,,,,,,,,,,,,,,,,,,,,,
010101,Sleeping,,,,,,,,,,,,,,,,,,,,,,,,
,,sleeping,waking up,,,,,,,,,,,,,,,,,,,,,,
,,falling asleep,dreaming,,,,,,,,,,,,,,,,,,,,,,
,,dozing off,cat napping,,,,,,,,,,,,,,,,,,,,,,
,,napping,getting some shut-eye,,,,,,,,,,,,,,,,,,,,,,
,,getting up,dozing,,,,,,,,,,,,,,,,,,,,,,
010102,Sleeplessness,,,,,,,,,,,,,,,,,,,,,,,,
,,insomnia,lying awake,,,,,,,,,,,,,,,,,,,,,,
,,tossing and turning,counting sheep,,,,,,,,,,,,,,,,,,,,,,
010199,"Sleeping, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
010201,"Washing, dressing and grooming oneself",,,,,,,,,,,,,,,,,,,,,,,,
,,bathing/showering,washing face,,,,,,,,,,,,,,,,,,,,,,
,,brushing/flossing teeth,washing hands,,,,,,,,,,,,,,,,,,,,,,
,,grooming,putting in contact lenses,,,,,,,,,,,,,,,,,,,,,,
,,blow-drying hair,shaving legs,,,,,,,,,,,,,,,,,,,,,,
,,brushing hair,cleaning contact lenses,,,,,,,,,,,,,,,,,,,,,,
,,putting on makeup,washing hair,,,,,,,,,,,,,,,,,,,,,,
,,shaving,filing nails,,,,,,,,,,,,,,,,,,,,,,
,,getting dressed/undressed,combing hair,,,,,,,,,,,,,,,,,,,,,,
,,changing clothes,gargling mouthwash,,,,,,,,,,,,,,,,,,,,,,
,,laying clothes out,putting on shoes,,,,,,,,,,,,,,,,,,,,,,
,,putting on hand cream,removing curlers,,,,,,,,,,,,,,,,,,,,,,
,,perming own hair,putting on night cream,,,,,,,,,,,,,,,,,,,,,,
,,doing own hair,cutting own hair,,,,,,,,,,,,,,,,,,,,,,
,,running bath,washing feet,,,,,,,,,,,,,,,,,,,,,,
,,doing nails,cleaning ears,,,,,,,,,,,,,,,,,,,,,,
,,putting on nail polish,brushing lint off clothing,,,,,,,,,,,,,,,,,,,,,,
,,using the bathroom,putting on pajamas,,,,,,,,,,,,,,,,,,,,,,
010299,"Grooming, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
,,mom braided my hair,friend rubbed suntan lotion on me,,,,,,,,,,,,,,,,,,,,,,
,,getting a haircut from spouse/friend (unpaid),,,,,,,,,,,,,,,,,,,,,,,
010301,Health-related self care,,,,,,,,,,,,,,,,,,,,,,,,
,,doing childbirth exercises,meditating (not religious),,,,,,,,,,,,,,,,,,,,,,
,,dressing a wound,taking vitamins,,,,,,,,,,,,,,,,,,,,,,
,,giving oneself a shot,resting because of injury,,,,,,,,,,,,,,,,,,,,,,
,,taking insulin,taking cough drops,,,,,,,,,,,,,,,,,,,,,,
,,putting ice on injury,bandaging ankle,,,,,,,,,,,,,,,,,,,,,,
,,gargling for sore throat,giving oneself an injection,,,,,,,,,,,,,,,,,,,,,,
,,resting because of illness,testing blood sugar level,,,,,,,,,,,,,,,,,,,,,,
,,taking medicine,applying ointment,,,,,,,,,,,,,,,,,,,,,,
,,doing stress management exercises,changing oxygen,,,,,,,,,,,,,,,,,,,,,,
,,exercising or therapy for medical reasons,,,,,,,,,,,,,,,,,,,,,,,
010399,"Self care, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
,,feeling sick,,,,,,,,,,,,,,,,,,,,,,,
010401,Personal/Private activities,,,,,,,,,,,,,,,,,,,,,,,,
,,having sex,"private activity, unspecified",,,,,,,,,,,,,,,,,,,,,,
,,making out,"personal activity, unspecified",,,,,,,,,,,,,,,,,,,,,,
,,cuddling partner in bed,spouse gave me a massage,,,,,,,,,,,,,,,,,,,,,,
,,necking,,,,,,,,,,,,,,,,,,,,,,,
010499,"Personal activities, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
010501,Personal emergencies,,,,,,,,,,,,,,,,,,,,,,,,
,,being involved in a personal accident,stanching blood flow,,,,,,,,,,,,,,,,,,,,,,
,,losing consciousness,waiting for ambulance,,,,,,,,,,,,,,,,,,,,,,
,,being involved in an accident requiring emergency care,,,,,,,,,,,,,,,,,,,,,,,
010599,"Personal care emergencies, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
019999,"Personal Care, n.e.c.*",,,,,,,,,,,,,,,,,,,,,,,,
020101,Interior cleaning,,,,,,,,,,,,,,,,,,,,,,,,
,,tidying up,picking up clothes,,,,,,,,,,,,,,,,,,,,,,
,,recycling/sorting newspapers for recycling,straightening up the house,,,,,,,,,,,,,,,,,,,,,,
,,cleaning windows/washing walls,picking up the house/cleaning the house,,,,,,,,,,,,,,,,,,,,,,
,,vacuuming/sweeping floors/sweeping,washing floor,,,,,,,,,,,,,,,,,,,,,,
,,making the bed/changing sheets,cleaning out drawers,,,,,,,,,,,,,,,,,,,,,,
,,cleaning bathrooms/cleaning bedroom,emptying ashtray,,,,,,,,,,,,,,,,,,,,,,
,,cleaning carpets/shampooing carpet,cleaning bathtub/cleaning toilet,,,,,,,,,,,,,,,,,,,,,,
,,polishing furniture/dusting,cleaning out closet,,,,,,,,,,,,,,,,,,,,,,
,,emptying trash cans/taking out the trash,scrubbing,,,,,,,,,,,,,,,,,,,,,,
,,cleaning cupboards,cleaning floors/mopping floors,,,,,,,,,,,,,,,,,,,,,,
,,picking up toys,,,,,,,,,,,,,,,,,,,,,,,
020102,Laundry,,,,,,,,,,,,,,,,,,,,,,,,
,,putting laundry in washer/dryer,bringing in washing/laundry,,,,,,,,,,,,,,,,,,,,,,
,,hanging clothes on clothesline,putting towels in bathroom,,,,,,,,,,,,,,,,,,,,,,
,,sorting laundry/folding clean laundry,hand washing clothing,,,,,,,,,,,,,,,,,,,,,,
,,treating stains/spot treating clothes,taking clothes off the line,,,,,,,,,,,,,,,,,,,,,,
,,ironing,taking clothes out of washer,,,,,,,,,,,,,,,,,,,,,,
,,putting clean laundry away,washing curtains,,,,,,,,,,,,,,,,,,,,,,
,,putting out clean towels,folding clothes/hanging clothes,,,,,,,,,,,,,,,,,,,,,,
,,removing lint from dryer,adding fabric softener,,,,,,,,,,,,,,,,,,,,,,
,,doing laundry/checking wash,,,,,,,,,,,,,,,,,,,,,,,
020103,"Sewing, repairing, & maintaining textiles",,,,,,,,,,,,,,,,,,,,,,,,
,,sewing on buttons/hemming garmets,polishing shoes,,,,,,,,,,,,,,,,,,,,,,
,,sewing a new dress/clothing,repairing/caring for clothes/hats/shoes/curtains,,,,,,,,,,,,,,,,,,,,,,
,,sewing curtains/other hh items,cleaning shoes/sneakers,,,,,,,,,,,,,,,,,,,,,,
,,knitting/crocheting blankets,"knitting/crocheting sweaters, clothing",,,,,,,,,,,,,,,,,,,,,,
,,altering clothing/sewing hem,crocheting/crocheting quilt,,,,,,,,,,,,,,,,,,,,,,
020104,"Storing interior hh items, inc. food",,,,,,,,,,,,,,,,,,,,,,,,
,,putting away the groceries/putting shopping away,boxing things up for storage,,,,,,,,,,,,,,,,,,,,,,
,,storing food/storing the groceries,putting away decorations/Christmas decorations/holiday items,,,,,,,,,,,,,,,,,,,,,,
,,moving stuff to attic/basement,,,,,,,,,,,,,,,,,,,,,,,
020199,"Housework, n.e.c.* ",,,,,,,,,,,,,,,,,,,,,,,,
020201,Food and drink preparation ,,,,,,,,,,,,,,,,,,,,,,,,
,,baking/cooking/broiling/boiling,cooking dinner,,,,,,,,,,,,,,,,,,,,,,
,,defrosting,peeling potatoes,,,,,,,,,,,,,,,,,,,,,,
,,packing food/lunches/picnics,preparing salad,,,,,,,,,,,,,,,,,,,,,,
,,making baby food,baking a cake/baking biscuits,,,,,,,,,,,,,,,,,,,,,,
,,mixing/heating up baby formula,chopping/slicing vegetables,,,,,,,,,,,,,,,,,,,,,,
,,mixing drinks,putting roast in oven,,,,,,,,,,,,,,,,,,,,,,
,,making coffee/tea,smoking fish,,,,,,,,,,,,,,,,,,,,,,
,,heating food up/cooking meals,dehydrating food/drying food,,,,,,,,,,,,,,,,,,,,,,
,,preparing food for company/guests,thawing frozen food,,,,,,,,,,,,,,,,,,,,,,
,,canning food/preserving food,putting icing on cake,,,,,,,,,,,,,,,,,,,,,,
,,preparing food for other hh members,boiling water,,,,,,,,,,,,,,,,,,,,,,
,,getting a drink/pouring water in glass,butchering/carving/salting meat,,,,,,,,,,,,,,,,,,,,,,
,,brewing beer or wine,making a gingerbread house,,,,,,,,,,,,,,,,,,,,,,
,,breast-pumping,making jam/bottling fruit,,,,,,,,,,,,,,,,,,,,,,
,,baking Christmas cookies,,,,,,,,,,,,,,,,,,,,,,,
020202,Food presentation,,,,,,,,,,,,,,,,,,,,,,,,
,,serving a meal/serving hors d'oeuvres,garnishing food,,,,,,,,,,,,,,,,,,,,,,
,,setting the table,putting out condiments,,,,,,,,,,,,,,,,,,,,,,
,,polishing silver,passing out drinks,,,,,,,,,,,,,,,,,,,,,,
