TUCASEID,TUACTIVITY_N,WUFNACTWT,WUFNACTWTC,WUHAPORD,WUHAPPY,WUINTERACT,WUMEANING,WUPAIN,WUPNORD,WUSAD,WUSADORD,WUSTRESS,WUSTRORD,WUTIRED,WUTRDORD
20130101130004,2,463966.692445,421084.960911,1,3,1,4,0,3,0,5,4,4,5,2
20130101130004,3,11135233.282037,12823527.627592,1,5,1,2,0,3,0,5,2,4,2,2
20130101130004,4,27374124.678486,24844094.216045,1,1,1,5,0,3,0,5,5,4,4,2
20130101130112,10,1125909.676194,1021848.420823,5,5,1,3,1,4,1,1,1,2,3,3
20130101130112,18,4503601.595029,4082547.360381,5,5,1,5,1,4,0,1,1,2,2,3
20130101130112,26,7881312.068738,7144466.290730,5,5,1,5,1,4,0,1,1,2,2,3
20130101130123,2,10994839.685636,9966901.554069,4,6,1,6,0,3,0,1,0,5,2,2
20130101130123,10,8551544.421015,7761175.116418,4,6,2,3,4,3,0,1,0,5,3,2
20130101130123,14,7329885.793864,6644594.391445,4,5,1,6,4,3,0,1,0,5,4,2
20130101130611,3,565042.927583,512819.309982,5,6,2,6,0,4,0,1,0,3,0,2
20130101130611,5,34467835.560453,30405802.640703,5,6,1,6,0,4,0,1,4,3,0,2
20130101130611,7,42378490.791087,37384187.496910,5,6,1,6,0,4,0,1,4,3,0,2
20130101130616,3,1968747.484121,1784683.808049,3,2,2,5,0,4,1,1,1,2,0,5
20130101130616,6,3937489.258881,3573570.124022,3,1,2,6,0,4,0,1,0,2,2,5
20130101130616,9,3937489.258881,3573570.124022,3,2,1,4,0,4,0,1,0,2,3,5
20130101130619,5,778684.923581,705883.505069,3,5,1,2,0,2,1,1,0,4,0,5
20130101130619,8,1557374.597152,1413435.559155,3,5,1,6,0,2,0,1,0,4,0,5
20130101130619,11,1557374.597152,1413435.559155,3,2,2,6,0,2,0,1,0,4,0,5
20130101130658,8,3731234.931233,3386378.679228,2,3,2,6,0,5,0,4,0,1,0,3
20130101130658,10,7462483.319803,6772769.572010,2,5,2,6,0,5,0,4,0,1,0,3
20130101130658,17,1243740.491299,1128788.821892,2,5,1,5,0,5,0,4,0,1,0,3
20130101130670,3,5880156.971790,5330404.747681,4,6,2,6,0,5,0,3,0,1,0,2
20130101130670,4,5880156.971790,5336688.406592,4,6,1,6,0,5,0,3,0,1,0,2
20130101130670,15,2940085.689092,2668350.740744,4,6,1,6,0,5,0,3,0,1,0,2
20130101130734,3,1485343.400686,1485343.400686,1,6,2,0,0,5,0,3,6,2,6,4
20130101130734,4,3342022.516934,3342022.516934,1,0,2,6,6,5,0,3,6,2,6,4
20130101130734,5,557003.842562,557003.842562,1,0,2,6,6,5,0,3,0,2,6,4
20130101130735,6,3398633.759353,3080886.039845,1,5,1,6,0,4,0,2,0,3,5,5
20130101130735,11,566440.545921,513482.444387,1,4,1,6,0,4,3,2,0,3,4,5
20130101130735,14,3398633.759353,3084517.891071,1,6,2,5,0,4,0,2,0,3,4,5
20130101130740,3,14735771.728968,12999161.672442,3,6,1,6,0,4,0,1,0,2,2,5
20130101130740,16,982379.427281,890534.043279,3,5,2,6,0,4,0,1,3,2,1,5
20130101130740,21,2947149.756093,2671612.531328,3,6,1,6,0,4,0,1,0,2,1,5
20130101130768,11,804021.450840,729710.444115,2,6,2,6,0,3,0,1,1,5,1,4
20130101130768,12,38593074.263572,34044882.142311,2,5,1,6,0,3,0,1,1,5,0,4
20130101130768,14,41809160.066933,36881952.373804,2,6,1,6,0,3,0,1,1,5,1,4
20130101130799,6,2442391.307919,2216655.344384,5,5,2,6,0,2,0,1,1,4,4,3
20130101130799,8,43963024.980379,50628581.471921,5,4,2,6,0,2,0,1,0,4,2,3
20130101130799,9,3663577.680796,3324974.593289,5,5,1,5,0,2,0,1,0,4,0,3
20130101130826,12,1497422.381673,1357424.199872,2,1,2,5,0,3,5,4,6,5,0,1
20130101130826,14,35189341.874273,31042279.466860,2,1,1,6,0,3,3,4,6,5,4,1
20130101130826,29,1497422.381673,1359024.376796,2,6,2,3,0,3,0,4,5,5,5,1
20130101130867,8,2889424.901438,2534365.762164,3,3,2,5,0,4,3,5,3,1,3,2
20130101130867,10,2889424.901438,2622372.233803,3,0,2,3,0,4,0,5,3,1,0,2
20130101130867,13,722357.477444,654822.268481,3,0,2,3,0,4,0,5,3,1,0,2
20130101130871,4,7655015.567812,6947507.188841,2,3,2,3,0,3,0,4,5,5,5,1
20130101130871,7,13396277.243670,11817526.553902,2,3,1,3,0,3,0,4,3,5,3,1
20130101130871,16,11482523.351717,10421260.783261,2,4,1,5,0,3,0,4,2,5,4,1
