TUCASEID,TULINENO,WECANTRIL,WEGENHTH,WEHBP,WEPAINMD,WEREST,WETYPICAL,WRTELIG,WUFINLWGT,WXCANTRIL,WXGENHTH,WXHBP,WXPAINMD,WXREST,WXTYPICAL
20130101130004,1,8,2,2,2,2,2,880,11665485.596739,0,0,0,0,0,0
20130101130112,1,7,3,2,2,3,2,824,5154131.309024,0,0,0,0,0,0
20130101130123,1,10,4,2,2,1,2,900,11573515.458564,0,0,0,0,0,0
20130101130611,1,10,2,2,2,1,2,960,9040744.702099,0,0,0,0,0,0
20130101130616,1,8,3,1,1,1,1,870,6343734.280797,0,0,0,0,0,0
20130101130619,1,9,2,2,2,1,2,915,3392850.274156,0,0,0,0,0,0
20130101130658,1,8,3,1,1,4,2,1082,6408255.448535,0,0,0,0,0,0
20130101130670,1,10,3,2,2,1,2,735,11081841.496186,0,0,0,0,0,0
20130101130734,1,10,5,1,1,4,3,435,1794789.740582,0,0,0,0,0,0
20130101130735,1,9,1,2,2,3,2,840,5286761.510956,0,0,0,0,0,0
20130101130740,1,7,1,1,2,1,1,1168,5215568.390366,0,0,0,0,0,0
20130101130768,1,10,3,2,2,3,1,925,7437205.857479,0,0,0,0,0,0
20130101130799,1,2,2,2,2,2,2,760,18562166.515319,0,0,0,0,0,0
20130101130826,1,0,3,2,2,3,2,864,5880772.907822,0,0,0,0,0,0
20130101130867,1,7,2,1,2,1,2,520,2086807.151502,0,0,0,0,0,0
20130101130871,1,5,3,2,2,4,2,960,7655015.567811,0,0,0,0,0,0
20130101130891,1,10,2,1,1,2,1,1020,14258040.603905,0,0,0,0,0,0
20130101130910,1,8,1,2,2,2,2,1060,16423793.223041,0,0,0,0,0,0
20130101130970,1,5,2,2,1,2,2,960,15013803.819813,0,0,0,0,0,0
20130101130996,1,7,3,2,1,2,1,715,1462733.879960,0,0,0,0,0,0
20130101131007,1,7,2,2,2,1,2,901,9174290.505057,0,0,0,0,0,0
20130101131043,1,10,2,2,2,1,2,840,7189815.002301,0,0,0,0,0,0
20130101131056,1,9,2,2,1,2,2,1272,6220238.366883,0,0,0,0,0,0
20130101131066,1,10,3,2,2,2,2,910,4458771.251003,0,0,0,0,0,0
20130101131096,1,5,5,1,1,2,2,720,3878420.710680,0,0,0,0,0,0
20130101131099,1,8,2,1,2,1,2,838,23266111.775749,0,0,0,0,0,0
20130101131112,1,8,3,1,1,2,1,1205,11925324.465067,0,0,0,0,0,0
20130101131117,1,10,2,2,2,1,3,970,10677224.300771,0,0,0,0,0,0
20130101131143,1,10,1,1,2,2,2,864,6612970.392807,0,0,0,0,0,0
20130101131145,1,10,3,2,2,1,2,896,17420570.608052,0,0,0,0,0,0
20130101131151,1,6,1,2,2,2,2,870,10504049.308222,0,0,0,0,0,0
20130101131165,1,8,1,1,2,1,2,943,5778373.754403,0,0,0,0,0,0
20130101131166,1,2,4,2,1,3,3,328,11960353.388594,0,0,0,0,0,0
20130101131179,1,9,2,1,2,2,2,775,1946393.796706,0,0,0,0,0,0
20130101131190,1,6,4,1,2,2,2,887,13947675.531736,0,0,0,0,0,0
20130101131197,1,8,1,2,2,1,1,1139,4896398.983590,0,0,0,0,0,0
20130101131206,1,5,3,1,1,2,3,806,4687052.804408,0,0,0,0,0,0
20130101131213,1,8,2,2,2,3,3,725,7682534.235816,0,0,0,0,0,0
20130101131216,1,10,2,2,2,2,2,921,2849423.277078,0,0,0,0,0,0
20130101131230,1,5,2,2,2,1,2,850,7053014.866455,0,0,0,0,0,0
20130101131231,1,7,5,1,1,3,3,485,5456197.894635,0,0,0,0,0,0
20130101131233,1,10,2,2,1,1,2,900,5068745.352133,0,0,0,0,0,0
20130101131249,1,5,1,2,2,1,1,875,20639884.195876,0,0,0,0,0,0
20130101131289,1,5,1,2,2,2,2,928,3160459.000359,0,0,0,0,0,0
20130101131301,1,8,2,2,2,3,2,858,2260901.123197,0,0,0,0,0,0
20130101131340,1,7,2,1,2,1,2,940,9689935.402234,0,0,0,0,0,0
20130101131356,1,6,3,2,2,3,1,1182,54422494.574326,0,0,0,0,0,0
20130101131401,1,8,2,2,2,2,2,920,20226048.302315,0,0,0,0,0,0
20130101131435,1,7,2,1,2,2,2,653,10572238.377864,0,0,0,0,0,0
20130101131445,1,7,2,1,1,1,2,867,1354024.596166,0,0,0,0,0,0
20130101131465,1,6,2,2,2,1,2,782,3375468.995172,0,0,0,0,0,0
20130101131491,1,8,2,1,2,1,1,911,2475306.392411,0,0,0,0,0,0
20130101131512,1,10,1,1,2,1,2,850,1694037.812086,0,0,0,0,0,0
20130101131519,1,6,3,2,2,2,2,740,5026198.502631,0,0,0,0,0,0
20130101131541,1,5,5,2,1,2,2,900,16724000.246418,0,0,0,0,0,0
20130101131553,1,7,2,1,2,2,2,680,6379759.378801,0,0,0,0,0,0
20130101131563,1,10,4,1,2,2,2,883,19700530.259874,0,0,0,0,0,0
20130101131570,1,4,3,2,2,2,2,870,4245260.389868,0,0,0,0,0,0
20130101131578,1,7,1,2,1,3,2,900,8022856.182576,0,0,0,0,0,0
20130101131579,1,10,1,2,2,3,2,915,29932138.698517,0,0,0,0,0,0
20130101131580,1,1,2,2,2,2,1,822,9310527.063212,0,0,0,0,0,0
20130101131651,1,5,3,1,2,2,1,1229,5369368.160699,0,0,0,0,0,0
20130101131664,1,8,2,2,2,2,2,910,5840051.589957,0,0,0,0,0,0
20130101131684,1,10,4,2,1,2,3,870,3777353.128052,0,0,0,0,0,0
20130101131689,1,8,4,1,1,1,2,780,8906009.031049,0,0,0,0,0,0
20130101131690,1,4,3,2,1,3,2,890,8095049.750007,0,0,0,0,0,0
20130101131694,1,7,2,2,2,2,2,980,8900280.181649,0,0,0,0,0,0
20130101131700,1,5,3,1,1,2,2,905,20383783.089319,0,0,0,0,0,0
20130101131715,1,5,2,2,2,1,2,690,2905774.990624,0,0,0,0,0,0
20130101131718,1,7,3,2,1,2,2,736,2755723.946605,0,0,0,0,0,0
20130101131749,1,8,2,2,2,2,2,839,2011161.129486,0,0,0,0,0,0
20130101131808,1,10,1,2,2,2,3,969,11056643.912739,0,0,0,0,0,0
20130101131810,1,5,3,2,2,1,2,870,7722505.142947,0,0,0,0,0,0
20130101131845,1,7,4,1,1,1,2,770,13638269.565947,0,0,0,0,0,0
20130101131856,1,7,2,2,2,1,2,818,6616103.424131,0,0,0,0,0,0
20130101131880,1,8,2,2,2,2,1,995,3022269.964750,0,0,0,0,0,0
20130101131882,1,7,2,2,1,1,3,1005,3303327.929207,0,0,0,0,0,0
20130101131897,1,7,2,2,1,2,3,1060,16472268.730046,0,0,0,0,0,0
20130101131898,1,8,3,2,1,2,3,945,1103827.629320,0,0,0,0,0,0
20130101131901,1,10,2,2,2,1,2,1080,6567321.594313,0,0,0,0,0,0
20130101131917,1,5,3,2,1,4,3,833,13153383.852902,0,0,0,0,0,0
20130101131941,1,8,3,2,1,1,2,965,8428515.844593,0,0,0,0,0,0
20130101131972,1,8,3,1,1,1,2,419,7334138.971566,0,0,0,0,0,0
20130101131976,1,5,4,1,1,2,2,750,8397228.797492,0,0,0,0,0,0
20130101131999,1,7,1,2,2,2,2,900,15066601.114860,0,0,0,0,0,0
20130101132004,1,3,5,2,1,2,3,840,15289388.468672,0,0,0,0,0,0
20130101132017,1,8,1,1,2,1,2,965,5272561.551147,0,0,0,0,0,0
20130101132022,1,8,1,2,2,1,1,895,21616081.255706,0,0,0,0,0,0
20130101132033,1,8,1,2,2,2,2,855,5039577.866594,0,0,0,0,0,0
20130101132036,1,0,5,2,2,2,2,1033,19018567.602322,0,0,0,0,0,0
20130101132043,1,8,5,2,1,4,1,544,5901708.337962,0,0,0,0,0,0
20130101132075,1,7,1,2,2,1,1,853,26595953.916160,0,0,0,0,0,0
20130101132107,1,7,2,2,2,1,2,780,2909321.010057,0,0,0,0,0,0
20130101132117,1,9,2,2,2,2,2,908,12922525.111331,0,0,0,0,0,0
20130101132143,1,10,1,2,1,1,2,840,18000501.333670,0,0,0,0,0,0
20130101132144,1,6,5,2,1,2,2,1170,8700918.197645,0,0,0,0,0,0
20130101132217,1,5,4,1,1,2,2,780,19237048.642608,0,0,0,0,0,0
20130101132281,1,10,1,2,2,1,1,870,11993193.365071,0,0,0,0,0,0
20130101132285,1,7,3,2,2,1,1,758,2422838.210734,0,0,0,0,0,0
20130101132343,1,8,3,1,2,2,2,865,6418897.366236,0,0,0,0,0,0
20130101132359,1,10,3,1,2,1,2,879,6577030.554288,0,0,0,0,0,0
20130101132390,1,8,2,2,1,2,2,853,18640160.769481,0,0,0,0,0,0
20130101132398,1,6,2,2,1,2,2,1020,2884670.372284,0,0,0,0,0,0
20130101132423,1,5,4,1,2,3,2,669,1228826.449698,0,0,0,0,0,0
20130101132429,1,6,1,2,2,3,2,900,5815043.989039,0,0,0,0,0,0
20130101132487,1,10,1,2,2,1,1,780,1007464.608209,0,0,0,0,0,0
20130101132497,1,7,3,2,2,1,2,690,4054395.273107,0,0,0,0,0,0
20130111120015,1,10,3,1,2,1,2,815,2144239.355115,0,0,0,0,0,0
20130111120062,1,8,2,1,2,1,2,900,4304347.865319,0,0,0,0,0,0
